bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h=24,segment_3,lightgbm,0.95,102,0.1262747598866461,105.11657039641382,0.116876967956106,4.723527583719438,
h=24,segment_3,lightgbm_coverage,50%,102,,,,,0.2647058823529412
h=24,segment_3,lightgbm_coverage,90%,102,,,,,0.5980392156862745
h=24,segment_3,persistence,,102,0.04794660513246815,52.3974637102359,0.0476175094120929,,
h=72,portfolio,lightgbm,0.05,102,0.038791991605016396,121.11219505573234,0.03822757937179551,61.11615549112209,
h=72,portfolio,lightgbm,0.25,102,0.04572549819837248,137.03442225694047,0.044414594974865454,73.95776143294135,
h=72,portfolio,lightgbm,0.5,102,0.05375886468090761,155.70122504399367,0.051795179517540584,63.18471855463142,
h=72,portfolio,lightgbm,0.75,102,0.07315114513966235,200.90934220091822,0.06969064038374914,45.2121003779232,
h=72,portfolio,lightgbm,0.95,102,0.1331991305896718,343.50124704895387,0.1229613910682764,15.401692272348978,
h=72,portfolio,lightgbm_coverage,50%,102,,,,,0.11764705882352941
h=72,portfolio,lightgbm_coverage,90%,102,,,,,0.4019607843137255
h=72,portfolio,persistence,,102,0.043685139699981494,154.13703484054966,0.04346784715148001,,
h=72,portfolio,sarimax,,102,0.13687202704719045,410.26847998878384,0.15076509223006077,,
h=72,segment_0,lightgbm,0.05,102,0.09089355636239582,48.248170312701205,0.09058328530490965,12.078169120124253,
h=72,segment_0,lightgbm,0.25,102,0.1074324531964651,45.50344015007138,0.09899994756847982,20.8298721346997,
h=72,segment_0,lightgbm,0.5,102,0.13277530860427625,52.32586020972778,0.11939559036545913,18.966899821426697,
h=72,segment_0,lightgbm,0.75,102,0.15870849611405902,58.41704569503248,0.1405131362916883,11.89103817059525,
h=72,segment_0,lightgbm,0.95,102,0.22283021392148686,74.34133793505765,0.19073960195236905,3.7759484059903192,
h=72,segment_0,lightgbm_coverage,50%,102,,,,,0.1568627450980392
h=72,segment_0,lightgbm_coverage,90%,102,,,,,0.47058823529411764
h=72,segment_0,persistence,,102,0.10173642986666387,55.426571031888095,0.09943720630197722,,
h=72,segment_1,lightgbm,0.05,102,0.0378451296043656,37.21155885066737,0.038455283448706426,9.156148290045724,
h=72,segment_1,lightgbm,0.25,102,0.046492349558272875,38.11071946544896,0.045671952881340065,17.669320138131784,
h=72,segment_1,lightgbm,0.5,102,0.054873022676180716,43.777466737569775,0.05290461866523628,16.965865111459763,
h=72,segment_1,lightgbm,0.75,102,0.08749257320390318,66.26234138541558,0.08196629562649368,14.235586765834261,
h=72,segment_1,lightgbm,0.95,102,0.18750689483038108,134.5526968010957,0.16632627599383812,5.97133220449327,
h=72,segment_1,lightgbm_coverage,50%,102,,,,,0.24509803921568626
h=72,segment_1,lightgbm_coverage,90%,102,,,,,0.5392156862745098
h=72,segment_1,persistence,,102,0.04561128753045623,39.301538074228155,0.04559054251817189,,
h=72,segment_2,lightgbm,0.05,102,0.032660257460973514,28.492170028358395,0.03288412887185941,7.834254093946318,
h=72,segment_2,lightgbm,0.25,102,0.03104621078345024,26.56767824234294,0.030545439452161035,11.718496583338782,
h=72,segment_2,lightgbm,0.5,102,0.04450002408868158,37.39044067710635,0.04297813505818244,14.232404855196734,
h=72,segment_2,lightgbm,0.75,102,0.05744779011489117,52.52924686794166,0.05478636533888487,10.474209750009862,
h=72,segment_2,lightgbm,0.95,102,0.11141853061554893,82.82439865338348,0.10416580112174971,3.73839230543006,
h=72,segment_2,lightgbm_coverage,50%,102,,,,,0.2647058823529412
h=72,segment_2,lightgbm_coverage,90%,102,,,,,0.5686274509803921
h=72,segment_2,persistence,,102,0.04339557753131759,38.939964754017474,0.04300532157107275,,
h=72,segment_3,lightgbm,0.05,102,0.0374143664519609,42.34511795205898,0.03764203373084947,13.788144952411434,
h=72,segment_3,lightgbm,0.25,102,0.041184877908418266,42.37037202094118,0.04027170311658376,20.896127775157947,
h=72,segment_3,lightgbm,0.5,102,0.05199310978449803,50.20255772835832,0.05021853478576169,20.176518257772457,
h=72,segment_3,lightgbm,0.75,102,0.06396664055672463,59.39771544860998,0.06117579937559056,13.07272067916267,
h=72,segment_3,lightgbm,0.95,102,0.12586310027981554,107.19397779412516,0.1164037258946085,5.01090103861732,
h=72,segment_3,lightgbm_coverage,50%,102,,,,,0.18627450980392157
h=72,segment_3,lightgbm_coverage,90%,102,,,,,0.46078431372549017
h=72,segment_3,persistence,,102,0.03983946670559806,43.72340181345776,0.039575256359104,,
h=168,portfolio,lightgbm,0.05,101,0.05468004661781888,163.9086413525243,0.05466324961151495,67.8450942115584,
