user_hash,segment,total_pre_kwh
0600da1817127b398db67ab0f647b8a2338c83fcc59745979349061828b2641e,2,5169.727999999999
06022047b939743274bd34f9a2724ae08725953b76de44edce1ecff08f6c7cd9,2,9697.685
0605448af83ab7bf48e8c02b24ae679300f5253959b47f24665760960ba707cb,0,1578.9695000000002
060593c13b3ba4e700eb25a2969f636e3818be6a25a353ad99c80be34bdff44e,0,3557.3469999999998
060e01c63bc70e625ffa94d8665de8b968327ca5fa2c4df414bd3d9a84112b82,0,3549.1370000000006
062cfa125453bc2808467faeef9d958a5bfed409473944c71db682da79d80e28,0,3350.3895
0637e45bc9870cdbb710183952dd62b3cbd7b722d95390a2e12bb54c8449a62c,0,2849.389
0639c0236891f6a811bcf921c5b5b9c42b1f8ecda5c0efe30efb9f3f4b8810ee,2,4492.9755000000005
064149733d0874ecf67bf4b7239aea33be0f82662aae54a5deae425640fbe81f,2,4817.700500000001
06416dbee29540d99bf45100d40f7ab1ac73d8822af8e4c41908272aa4a0861d,0,6493.022000000001
064d3b7d7abcf9ac67f8e9fe82525e2b7c86492e791b4b426fb66470610e4f81,1,1382.653
0659b25cc98d3292b758b2a1142bbf59f72a477755ed2961b1aca38c59eb2dc8,2,8818.0865
0659b666ca5f1179fac04bfd884611776f1e8a6cb66f2677ed994e2c341cc8d7,0,4442.0515000000005
06706c4bf7e2e47b5f5c7de9d6fd5c0e713a127989d03bc1e5faff3d6ae2501d,2,15898.838499999998
06738308808936ea66cafe139c29b72b69c551291b067a3991cadf2271bb2976,2,3198.5105
0674e7f40090e78dad17e9fa4442f17a1c372f998625445eb808e1df994f890a,0,3752.582
067fd1021a48865540c7e764fa615c4187193fabdf78e991b6434404d29b687e,0,4271.341
06803c1fcc128362599888403c6bf92e5a13509e0db421882bed91a6216c580a,0,4610.441500000001
0688286a50e3ff1291e0aab2f91c089af30b74448fd4d97824508240e567d60b,0,2019.7015000000001
068e7b35fadf311e7a9df7724235c38f8dad1e6a1bdd8f3e0fea23eb85f2e443,0,907.8960000000001
069120dbd97ff815cb14e28729e2fe50b551e41a50f10054efdf4902e7b8003f,2,4486.2345
06a534206aa9b178297cc66433112d54c0006e9c2770bcc71d8b2ff7e5285d65,0,3610.7865
06a6b88fa1d36cd610740a964336eb1dfd6728e8f322b376c37dd7d5b2babb2d,0,7684.098000000001
06b03b66ca928cfc0bad54cb4b191495ee82679915b090a151e0239fbb618293,0,1493.9744999999998
06b846e04b5ac2f6f30a246fb142362a406de5656c86837e91442568f02ffd5e,0,5630.134
06bfae43bcf8af9a8c67c40a8d82e5b089b45402bdd757f7ceb34407fe3c3277,2,2663.5695
06c712ace88dd9d7fded4d10e4575784ca8b5a7868ae8d40f32cb0eaa7f4c89c,0,1467.371
06c96492a657646e4c8f03c9d729880a8cccfd5639f93391e86244e90697c22f,2,8282.052
06dcf8b8c11c94fc88fe6de9590c3550202dbb7a73be180d9e2e12836ba37221,2,14013.1605
06df47465b40f738eb70103f0a3bd65da2b0e1171cec635588f2e966d4b1a3d3,0,5040.077
06e9409c04b51d6d1cd085ed07964083f372b705089475fe3e9acc347c1eb6ec,0,2373.4815000000003
06eafee35a3d4f4ed6866f77e3d8c7e4aeba6d980557daffae069dc93c279364,2,5372.5775
06eb40c7e298cd950c9d1d3cf14fb2b7f6c6092c7cd57f8e9d58f636f52db369,2,7538.0925
06ebbe215c513000bda525bccc9ffe15ea343af3dc15c6f5457a44866b1942f3,2,1655.6644999999999
06ebfeaa19e4ddb07aecc799ddc985447b03a3e87e5472febe74898d166ec137,1,8115.927499999999
06ecf2e0f74ae3d1cac6f2210f43eaadbdcd2e176faca89094f2e5e753f88a11,2,5857.708500000001
06edf39d212dbb56e6f1b46e1893d598b178eddfc2bc3ec9e92cc19b5ee6828e,0,4568.951
06effabfa604443f777b37714a42e06a3aea4e94cea9b630f1dab9bbb4a280b0,0,4120.2665
06f05387a7e12ace81986ab7e4f9ee2b1145bd0013631b08838954323b83682f,2,7240.3279999999995
06f19be312e07c9c70110c2b515dc0d0872b8260588626cc55b87438e5bb2039,0,5601.777
06fe954b79245c4557994bf6e87c4d37d5d66a58ba9f75ce351e7521b2b50399,2,11107.907500000001
0707ce4a36e28c654ba068f4113fea58b1da47ed993234baf1b41489fe9b979b,0,700.9325
0709e3c89faa939c51f4c010f87df21ab7f05d9b5d5c9f30fee2a2b215aff838,0,2376.471
