issue_time,level,quantile,iterations_used,n_train,n_valid,n_train_full,refit_full
2021-05-03,portfolio,0.05,203,8039,720,8759,True
2021-05-03,portfolio,0.25,221,8039,720,8759,True
2021-05-03,portfolio,0.5,884,8039,720,8759,True
2021-05-03,portfolio,0.75,581,8039,720,8759,True
2021-05-03,portfolio,0.95,204,8039,720,8759,True
2021-05-10,portfolio,0.05,174,8039,720,8759,True
2021-05-10,portfolio,0.25,180,8039,720,8759,True
2021-05-10,portfolio,0.5,936,8039,720,8759,True
2021-05-10,portfolio,0.75,732,8039,720,8759,True
2021-05-10,portfolio,0.95,130,8039,720,8759,True
2021-05-17,portfolio,0.05,163,8039,720,8759,True
2021-05-17,portfolio,0.25,242,8039,720,8759,True
2021-05-17,portfolio,0.5,995,8039,720,8759,True
2021-05-17,portfolio,0.75,569,8039,720,8759,True
2021-05-17,portfolio,0.95,210,8039,720,8759,True
2021-05-24,portfolio,0.05,117,8039,720,8759,True
2021-05-24,portfolio,0.25,179,8039,720,8759,True
2021-05-24,portfolio,0.5,1084,8039,720,8759,True
2021-05-24,portfolio,0.75,835,8039,720,8759,True
2021-05-24,portfolio,0.95,152,8039,720,8759,True
2021-05-31,portfolio,0.05,107,8039,720,8759,True
2021-05-31,portfolio,0.25,154,8039,720,8759,True
2021-05-31,portfolio,0.5,673,8039,720,8759,True
2021-05-31,portfolio,0.75,380,8039,720,8759,True
2021-05-31,portfolio,0.95,205,8039,720,8759,True
2021-06-07,portfolio,0.05,61,8039,720,8759,True
2021-06-07,portfolio,0.25,166,8039,720,8759,True
2021-06-07,portfolio,0.5,371,8039,720,8759,True
2021-06-07,portfolio,0.75,493,8039,720,8759,True
2021-06-07,portfolio,0.95,280,8039,720,8759,True
2021-06-14,portfolio,0.05,51,8039,720,8759,True
2021-06-14,portfolio,0.25,159,8039,720,8759,True
2021-06-14,portfolio,0.5,1178,8039,720,8759,True
2021-06-14,portfolio,0.75,1579,8039,720,8759,True
2021-06-14,portfolio,0.95,186,8039,720,8759,True
2021-06-21,portfolio,0.05,46,8039,720,8759,True
2021-06-21,portfolio,0.25,78,8039,720,8759,True
2021-06-21,portfolio,0.5,948,8039,720,8759,True
2021-06-21,portfolio,0.75,1411,8039,720,8759,True
2021-06-21,portfolio,0.95,199,8039,720,8759,True
2021-06-28,portfolio,0.05,44,8039,720,8759,True
2021-06-28,portfolio,0.25,71,8039,720,8759,True
2021-06-28,portfolio,0.5,411,8039,720,8759,True
2021-06-28,portfolio,0.75,2012,8039,720,8759,True
2021-06-28,portfolio,0.95,201,8039,720,8759,True
2021-07-05,portfolio,0.05,48,8039,720,8759,True
2021-07-05,portfolio,0.25,168,8039,720,8759,True
2021-07-05,portfolio,0.5,578,8039,720,8759,True
2021-07-05,portfolio,0.75,1830,8039,720,8759,True
2021-07-05,portfolio,0.95,673,8039,720,8759,True
2021-07-12,portfolio,0.05,203,8039,720,8759,True
2021-07-12,portfolio,0.25,668,8039,720,8759,True
2021-07-12,portfolio,0.5,1206,8039,720,8759,True
2021-07-12,portfolio,0.75,2500,8039,720,8759,True
2021-07-12,portfolio,0.95,2047,8039,720,8759,True
2021-07-19,portfolio,0.05,162,8039,720,8759,True
2021-07-19,portfolio,0.25,240,8039,720,8759,True
2021-07-19,portfolio,0.5,435,8039,720,8759,True
2021-07-19,portfolio,0.75,2447,8039,720,8759,True
2021-07-19,portfolio,0.95,2500,8039,720,8759,True
2021-07-26,portfolio,0.05,186,8039,720,8759,True
2021-07-26,portfolio,0.25,1153,8039,720,8759,True
2021-07-26,portfolio,0.5,2467,8039,720,8759,True
2021-07-26,portfolio,0.75,2178,8039,720,8759,True
2021-07-26,portfolio,0.95,1350,8039,720,8759,True
2021-08-02,portfolio,0.05,465,8039,720,8759,True
2021-08-02,portfolio,0.25,163,8039,720,8759,True
2021-08-02,portfolio,0.5,970,8039,720,8759,True
2021-08-02,portfolio,0.75,1873,8039,720,8759,True
2021-08-02,portfolio,0.95,2465,8039,720,8759,True
2021-08-09,portfolio,0.05,138,8039,720,8759,True
2021-08-09,portfolio,0.25,224,8039,720,8759,True
2021-08-09,portfolio,0.5,302,8039,720,8759,True
2021-08-09,portfolio,0.75,2498,8039,720,8759,True
2021-08-09,portfolio,0.95,1252,8039,720,8759,True
2021-08-16,portfolio,0.05,40,8039,720,8759,True
2021-08-16,portfolio,0.25,134,8039,720,8759,True
2021-08-16,portfolio,0.5,590,8039,720,8759,True
2021-08-16,portfolio,0.75,1557,8039,720,8759,True
2021-08-16,portfolio,0.95,2489,8039,720,8759,True
2021-08-23,portfolio,0.05,36,8039,720,8759,True
2021-08-23,portfolio,0.25,108,8039,720,8759,True
2021-08-23,portfolio,0.5,652,8039,720,8759,True
2021-08-23,portfolio,0.75,1549,8039,720,8759,True
2021-08-23,portfolio,0.95,2481,8039,720,8759,True
2021-08-30,portfolio,0.05,40,8039,720,8759,True
2021-08-30,portfolio,0.25,89,8039,720,8759,True
2021-08-30,portfolio,0.5,885,8039,720,8759,True
2021-08-30,portfolio,0.75,2495,8039,720,8759,True
2021-08-30,portfolio,0.95,2500,8039,720,8759,True
2021-09-06,portfolio,0.05,183,8039,720,8759,True
2021-09-06,portfolio,0.25,165,8039,720,8759,True
2021-09-06,portfolio,0.5,1807,8039,720,8759,True
2021-09-06,portfolio,0.75,2499,8039,720,8759,True
2021-09-06,portfolio,0.95,810,8039,720,8759,True
2021-09-13,portfolio,0.05,254,8039,720,8759,True
2021-09-13,portfolio,0.25,567,8039,720,8759,True
2021-09-13,portfolio,0.5,1197,8039,720,8759,True
2021-09-13,portfolio,0.75,825,8039,720,8759,True
2021-09-13,portfolio,0.95,360,8039,720,8759,True
2021-09-20,portfolio,0.05,189,8039,720,8759,True
2021-09-20,portfolio,0.25,487,8039,720,8759,True
2021-09-20,portfolio,0.5,1786,8039,720,8759,True
2021-09-20,portfolio,0.75,495,8039,720,8759,True
2021-09-20,portfolio,0.95,227,8039,720,8759,True
2021-09-27,portfolio,0.05,80,8039,720,8759,True
2021-09-27,portfolio,0.25,230,8039,720,8759,True
2021-09-27,portfolio,0.5,1492,8039,720,8759,True
2021-09-27,portfolio,0.75,517,8039,720,8759,True
2021-09-27,portfolio,0.95,151,8039,720,8759,True
2021-10-04,portfolio,0.05,47,8039,720,8759,True
2021-10-04,portfolio,0.25,193,8039,720,8759,True
2021-10-04,portfolio,0.5,932,8039,720,8759,True
2021-10-04,portfolio,0.75,1954,8039,720,8759,True
2021-10-04,portfolio,0.95,730,8039,720,8759,True
2021-10-11,portfolio,0.05,50,8039,720,8759,True
2021-10-11,portfolio,0.25,67,8039,720,8759,True
2021-10-11,portfolio,0.5,1274,8039,720,8759,True
2021-10-11,portfolio,0.75,2500,8039,720,8759,True
2021-10-11,portfolio,0.95,2500,8039,720,8759,True
2021-10-18,portfolio,0.05,51,8039,720,8759,True
2021-10-18,portfolio,0.25,295,8039,720,8759,True
2021-10-18,portfolio,0.5,1271,8039,720,8759,True
2021-10-18,portfolio,0.75,1491,8039,720,8759,True
2021-10-18,portfolio,0.95,821,8039,720,8759,True
2021-10-25,portfolio,0.05,73,8039,720,8759,True
2021-10-25,portfolio,0.25,196,8039,720,8759,True
2021-10-25,portfolio,0.5,1572,8039,720,8759,True
2021-10-25,portfolio,0.75,1895,8039,720,8759,True
2021-10-25,portfolio,0.95,507,8039,720,8759,True
2021-11-01,portfolio,0.05,91,8039,720,8759,True
2021-11-01,portfolio,0.25,72,8039,720,8759,True
2021-11-01,portfolio,0.5,2495,8039,720,8759,True
2021-11-01,portfolio,0.75,1103,8039,720,8759,True
2021-11-01,portfolio,0.95,432,8039,720,8759,True
2021-11-08,portfolio,0.05,145,8039,720,8759,True
2021-11-08,portfolio,0.25,335,8039,720,8759,True
2021-11-08,portfolio,0.5,556,8039,720,8759,True
2021-11-08,portfolio,0.75,1569,8039,720,8759,True
2021-11-08,portfolio,0.95,279,8039,720,8759,True
2021-11-15,portfolio,0.05,130,8039,720,8759,True
2021-11-15,portfolio,0.25,375,8039,720,8759,True
2021-11-15,portfolio,0.5,643,8039,720,8759,True
2021-11-15,portfolio,0.75,442,8039,720,8759,True
2021-11-15,portfolio,0.95,333,8039,720,8759,True
2021-11-22,portfolio,0.05,163,8039,720,8759,True
2021-11-22,portfolio,0.25,68,8039,720,8759,True
2021-11-22,portfolio,0.5,239,8039,720,8759,True
2021-11-22,portfolio,0.75,2427,8039,720,8759,True
2021-11-22,portfolio,0.95,297,8039,720,8759,True
2021-11-29,portfolio,0.05,174,8039,720,8759,True
2021-11-29,portfolio,0.25,87,8039,720,8759,True
2021-11-29,portfolio,0.5,68,8039,720,8759,True
2021-11-29,portfolio,0.75,149,8039,720,8759,True
2021-11-29,portfolio,0.95,350,8039,720,8759,True
2021-12-06,portfolio,0.05,139,8039,720,8759,True
2021-12-06,portfolio,0.25,85,8039,720,8759,True
2021-12-06,portfolio,0.5,63,8039,720,8759,True
2021-12-06,portfolio,0.75,2490,8039,720,8759,True
2021-12-06,portfolio,0.95,135,8039,720,8759,True
2021-12-13,portfolio,0.05,269,8039,720,8759,True
2021-12-13,portfolio,0.25,618,8039,720,8759,True
2021-12-13,portfolio,0.5,1700,8039,720,8759,True
2021-12-13,portfolio,0.75,2493,8039,720,8759,True
2021-12-13,portfolio,0.95,150,8039,720,8759,True
2021-12-20,portfolio,0.05,239,8039,720,8759,True
2021-12-20,portfolio,0.25,1525,8039,720,8759,True
2021-12-20,portfolio,0.5,2500,8039,720,8759,True
2021-12-20,portfolio,0.75,751,8039,720,8759,True
2021-12-20,portfolio,0.95,195,8039,720,8759,True
2021-12-27,portfolio,0.05,144,8039,720,8759,True
2021-12-27,portfolio,0.25,74,8039,720,8759,True
2021-12-27,portfolio,0.5,70,8039,720,8759,True
2021-12-27,portfolio,0.75,819,8039,720,8759,True
2021-12-27,portfolio,0.95,188,8039,720,8759,True
2022-01-03,portfolio,0.05,154,8039,720,8759,True
2022-01-03,portfolio,0.25,87,8039,720,8759,True
2022-01-03,portfolio,0.5,60,8039,720,8759,True
2022-01-03,portfolio,0.75,2488,8039,720,8759,True
2022-01-03,portfolio,0.95,250,8039,720,8759,True
2022-01-10,portfolio,0.05,233,8039,720,8759,True
2022-01-10,portfolio,0.25,91,8039,720,8759,True
2022-01-10,portfolio,0.5,70,8039,720,8759,True
2022-01-10,portfolio,0.75,770,8039,720,8759,True
2022-01-10,portfolio,0.95,1524,8039,720,8759,True
2022-01-17,portfolio,0.05,268,8039,720,8759,True
2022-01-17,portfolio,0.25,124,8039,720,8759,True
2022-01-17,portfolio,0.5,399,8039,720,8759,True
2022-01-17,portfolio,0.75,1343,8039,720,8759,True
2022-01-17,portfolio,0.95,175,8039,720,8759,True
2022-01-24,portfolio,0.05,325,8039,720,8759,True
2022-01-24,portfolio,0.25,140,8039,720,8759,True
2022-01-24,portfolio,0.5,141,8039,720,8759,True
2022-01-24,portfolio,0.75,600,8039,720,8759,True
2022-01-24,portfolio,0.95,77,8039,720,8759,True
2022-01-31,portfolio,0.05,443,8039,720,8759,True
2022-01-31,portfolio,0.25,148,8039,720,8759,True
2022-01-31,portfolio,0.5,118,8039,720,8759,True
2022-01-31,portfolio,0.75,194,8039,720,8759,True
2022-01-31,portfolio,0.95,168,8039,720,8759,True
2022-02-07,portfolio,0.05,320,8039,720,8759,True
